时间,UID,用户名,注册时间,用户等级,牌子,用户直播间等级,SC内容,金额,删除
2022/5/21 21:09,8958195,神教宗善德,,,嘉心糖(15),21,晚晚的剑眉，强而有力，强而有力呀!,30,
2022/5/21 21:09,299727433,次元境界,,,嘉心糖(25),18,然然，我的然然,30,
2022/5/21 21:10,279874804,xiaoxXxX0,,,顶碗人(21),8,小鱼人是吧,30,
2022/5/21 21:10,477603043,回旋枸,,,贝极星(21),3,不去鸟巢了，我们去欢乐喜剧人,50,
2022/5/21 21:11,15243738,ckeleshi,,,套盾构(26),30,？？？？？？？,1000,
2022/5/21 21:11,35586962,南方普洱茶,,,贝极星(24),20,我汗流下来了,100,
2022/5/21 21:11,1865915392,坠落-轨迹,,,顶碗人(22),3,晚晚太善良了，请你们不要再套团推偏晚的盾伤害她,100,
2022/5/21 21:12,12187020,我一直都是顶碗人啊,,,顶碗人(27),21,晚帮主 和兄弟们玩尬的是吧,30,
2022/5/21 21:13,299727433,次元境界,,,嘉心糖(25),18,晚大侠，摇了我吧,30,
2022/5/21 21:13,108911699,多肉植物星,,,嘉心糖(21),20,晚来天欲雪,30,
2022/5/21 21:14,39143766,散失否决の水猴,,,黯灭头(3),15,嘿，姐们在这给你说唱～,111,
2022/5/21 21:14,111809,llssjj,,,贝极星(6),16,然比！！,100,
2022/5/21 21:14,1953956142,文靜模仿者,,,贝极星(22),10,不去鸟巢了，我们去百老汇！,50,
2022/5/21 21:14,26117545,袁碧浪cracy,,,嘉心糖(21),7,然然怎么还请外援啊，正义的二打一？,30,
2022/5/21 21:14,323242992,还似此间年少,,,顶碗人(23),14,顶碗帮全麻,100,
2022/5/21 21:14,23379062,12莫名其妙34,,,,14,原来这就是那个雪诶诶诶诶，哪里的神曲，哈哈哈哈,500,
2022/5/21 21:16,480528,Faceless_Akari,,,顶碗人(26),24,早知道，还是琳嘉,100,
2022/5/21 21:17,31949306,雨中海绵,,,奶淇琳(23),7,什么小缇娜哈哈哈,30,
2022/5/21 21:18,299727433,次元境界,,,嘉心糖(25),18,嘉晚饭，天下第一,30,
2022/5/21 21:18,181481,碱式磷酸钙,,,嘉心糖(26),17,是我最喜欢的父母爱情故事,30,
2022/5/21 21:19,37991420,耶洛尼穆斯Hieronymus,,,嘉心糖(26),26,随个礼,50,
2022/5/21 21:19,1352457979,マリン马琳,,,顶碗人(26),20,早知道,200,
2022/5/21 21:19,38401501,混沌咕哒丸,,,顶碗人(22),12,赢,30,
2022/5/21 21:20,1446674,GNK48-土拨鼠,,,顶碗人(22),13,嘉晚饭，赢！,30,
2022/5/21 21:20,53615515,赏味rights,,,嘉心糖(22),17,我出生了？我又出生了！,30,
2022/5/21 21:20,150793,小敬,,,嘉心糖(24),16,衿儿!!!!,30,
2022/5/21 21:20,27543674,磕的就是嘉晚饭,,,顶碗人(3),10,琳嘉女孩还能说话吗？嘉晚饭赢太多了,30,
2022/5/21 21:20,1586773071,polaris_kira,,,贝极星(21),2,晚晚刚才笑嘻了吧,30,
2022/5/21 21:20,22384985,MosTimeBlackhole,,,伯爵(6),2,随五十，囍囍囍囍,50,
2022/5/21 21:21,12235630,゛薛定谔的喵,,,嘉心糖(28),22,把礼钱还回来~,30,
2022/5/21 21:21,61433497,抗病毒小绵羊,,,奶淇琳(24),17,晚上好!今天521，永远爱你们＾3＾,100,
2022/5/21 21:22,1649990,BaiKarin,,,,17,别刀了，别刀了，孩子被刀惨了TAT,30,
2022/5/21 21:22,540865,八月の凶,,,顶碗人(24),20,有点麻,50,
2022/5/21 21:23,17545630,水晶插头,,,顶碗人(24),18,好好好好，521快乐~~~~~,500,
2022/5/21 21:23,15374066,啵啵天狼星,,,蕾丝(15),12,好的小剧场，欣欣向荣。,100,
2022/5/21 21:23,4443897,流云斩墨,,,瞳星结(6),21,枝江之空,100,
